,Player,Year,Pts Won,Pts Max,Share
0,Michael Jordan,1991,891.0,960,0.928
1,Magic Johnson,1991,497.0,960,0.518
2,David Robinson,1991,476.0,960,0.496
3,Charles Barkley,1991,222.0,960,0.231
4,Karl Malone,1991,142.0,960,0.148
5,Clyde Drexler,1991,75.0,960,0.078
6,Kevin Johnson,1991,32.0,960,0.033
7,Dominique Wilkins,1991,29.0,960,0.03
8,Larry Bird,1991,25.0,960,0.026
9,Terry Porter,1991,25.0,960,0.026
10,Patrick Ewing,1991,20.0,960,0.021
11,John Stockton,1991,15.0,960,0.016
12,Isiah Thomas,1991,11.0,960,0.011
13,Robert Parish,1991,10.0,960,0.01
14,Joe Dumars,1991,8.0,960,0.008
15,Bernard King,1991,7.0,960,0.007
16,Kenny Smith,1991,5.0,960,0.005
17,Hakeem Olajuwon,1991,4.0,960,0.004
18,Tim Hardaway,1991,1.0,960,0.001
19,Kevin McHale,1991,1.0,960,0.001
20,Michael Jordan,1992,900.0,960,0.938
21,Clyde Drexler,1992,561.0,960,0.584
22,David Robinson,1992,337.0,960,0.351
23,Karl Malone,1992,262.0,960,0.273
24,Patrick Ewing,1992,100.0,960,0.104
25,Chris Mullin,1992,81.0,960,0.084
26,Mark Price,1992,66.0,960,0.069
27,Tim Hardaway,1992,64.0,960,0.067
28,Scottie Pippen,1992,32.0,960,0.033
29,Dennis Rodman,1992,26.0,960,0.027
30,Brad Daugherty,1992,24.0,960,0.025
31,Charles Barkley,1992,18.0,960,0.019
32,John Stockton,1992,18.0,960,0.019
33,Larry Bird,1992,3.0,960,0.003
34,Kevin Johnson,1992,2.0,960,0.002
35,Danny Manning,1992,1.0,960,0.001
36,Detlef Schrempf,1992,1.0,960,0.001
37,Charles Barkley,1993,835.0,980,0.852
38,Hakeem Olajuwon,1993,647.0,980,0.66
39,Michael Jordan,1993,565.0,980,0.577
40,Patrick Ewing,1993,359.0,980,0.366
41,Dominique Wilkins,1993,54.0,980,0.055
42,David Robinson,1993,33.0,980,0.034
43,Shaquille O'Neal,1993,30.0,980,0.031
44,Karl Malone,1993,10.0,980,0.01
45,Mark Price,1993,10.0,980,0.01
46,Brad Daugherty,1993,1.0,980,0.001
47,Clyde Drexler,1993,1.0,980,0.001
48,Joe Dumars,1993,1.0,980,0.001
49,Shawn Kemp,1993,1.0,980,0.001
50,John Stockton,1993,1.0,980,0.001
51,Hakeem Olajuwon,1994,889.0,1010,0.88
52,David Robinson,1994,730.0,1010,0.723
53,Scottie Pippen,1994,390.0,1010,0.386
54,Shaquille O'Neal,1994,289.0,1010,0.286
55,Patrick Ewing,1994,255.0,1010,0.252
56,Gary Payton,1994,20.0,1010,0.02
57,Shawn Kemp,1994,17.0,1010,0.017
58,Karl Malone,1994,17.0,1010,0.017
59,Mark Price,1994,7.0,1010,0.007
60,Charles Barkley,1994,5.0,1010,0.005
61,Mookie Blaylock,1994,1.0,1010,0.001
62,Kevin Johnson,1994,1.0,1010,0.001
63,Dennis Rodman,1994,1.0,1010,0.001
64,Latrell Sprewell,1994,1.0,1010,0.001
65,John Stockton,1994,1.0,1010,0.001
66,Dominique Wilkins,1994,1.0,1010,0.001
67,Kevin Willis,1994,1.0,1010,0.001
68,David Robinson,1995,901.0,1050,0.858
69,Shaquille O'Neal,1995,605.0,1050,0.576
70,Karl Malone,1995,532.0,1050,0.507
71,Patrick Ewing,1995,230.0,1050,0.219
72,Hakeem Olajuwon,1995,147.0,1050,0.14
73,Charles Barkley,1995,96.0,1050,0.091
74,Scottie Pippen,1995,83.0,1050,0.079
75,John Stockton,1995,47.0,1050,0.045
76,Gary Payton,1995,34.0,1050,0.032
77,Anfernee Hardaway,1995,23.0,1050,0.022
78,Michael Jordan,1995,12.0,1050,0.011
79,Dennis Rodman,1995,9.0,1050,0.009
80,Jason Kidd,1995,7.0,1050,0.007
81,Clyde Drexler,1995,3.0,1050,0.003
82,Cedric Ceballos,1995,1.0,1050,0.001
83,Michael Jordan,1996,1114.0,1130,0.986
84,David Robinson,1996,574.0,1130,0.508
85,Anfernee Hardaway,1996,360.0,1130,0.319
86,Hakeem Olajuwon,1996,238.0,1130,0.211
87,Scottie Pippen,1996,226.0,1130,0.2
88,Gary Payton,1996,98.0,1130,0.087
89,Karl Malone,1996,85.0,1130,0.075
90,Shawn Kemp,1996,73.0,1130,0.065
91,Grant Hill,1996,63.0,1130,0.056
92,Shaquille O'Neal,1996,63.0,1130,0.056
93,John Stockton,1996,12.0,1130,0.011
94,Charles Barkley,1996,8.0,1130,0.007
95,Magic Johnson,1996,8.0,1130,0.007
96,Alonzo Mourning,1996,6.0,1130,0.005
97,Dennis Rodman,1996,4.0,1130,0.004
98,Terrell Brandon,1996,3.0,1130,0.003
99,Mitch Richmond,1996,3.0,1130,0.003
